State,Year,Year,Consumption
Dadra & Nagar Haveli,2015,"Financial Year (Apr - Mar), 2015",5548.0
Goa,2015,"Financial Year (Apr - Mar), 2015",3391.0
Andhra Pradesh,2015,"Financial Year (Apr - Mar), 2015",44353.0
Telangana,2015,"Financial Year (Apr - Mar), 2015",41289.0
Karnataka,2015,"Financial Year (Apr - Mar), 2015",57223.0
Kerala,2015,"Financial Year (Apr - Mar), 2015",19829.0
Tamil Nadu,2015,"Financial Year (Apr - Mar), 2015",80083.0
Puducherry,2015,"Financial Year (Apr - Mar), 2015",2468.0
Lakshadweep,2015,"Financial Year (Apr - Mar), 2015",46.0
Bihar,2015,"Financial Year (Apr - Mar), 2015",13250.0
Jharkhand,2015,"Financial Year (Apr - Mar), 2015",17542.0
Odisha,2015,"Financial Year (Apr - Mar), 2015",16053.0
West Bengal,2015,"Financial Year (Apr - Mar), 2015",42497.0
Sikkim,2015,"Financial Year (Apr - Mar), 2015",354.0
Andaman & Nicobar Islands,2015,"Financial Year (Apr - Mar), 2015",242.0
Arunachal Pradesh,2015,"Financial Year (Apr - Mar), 2015",375.0
Assam,2015,"Financial Year (Apr - Mar), 2015",6199.0
Manipur,2015,"Financial Year (Apr - Mar), 2015",475.0
Meghalaya,2015,"Financial Year (Apr - Mar), 2015",1283.0
Mizoram,2015,"Financial Year (Apr - Mar), 2015",339.0
Nagaland,2015,"Financial Year (Apr - Mar), 2015",549.0
Tripura,2015,"Financial Year (Apr - Mar), 2015",813.0
Chandigarh,2016,"Financial Year (Apr - Mar), 2016",1589.0
Delhi,2016,"Financial Year (Apr - Mar), 2016",26604.0
Haryana,2016,"Financial Year (Apr - Mar), 2016",34501.0
Himachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",7974.0
Jammu & Kashmir,2016,"Financial Year (Apr - Mar), 2016",7902.0
Punjab,2016,"Financial Year (Apr - Mar), 2016",44050.0
Rajasthan,2016,"Financial Year (Apr - Mar), 2016",51027.0
Uttar Pradesh,2016,"Financial Year (Apr - Mar), 2016",81068.0
Uttarakhand,2016,"Financial Year (Apr - Mar), 2016",11162.0
Chhattisgarh,2016,"Financial Year (Apr - Mar), 2016",19159.0
Gujarat,2016,"Financial Year (Apr - Mar), 2016",85556.0
Madhya Pradesh,2016,"Financial Year (Apr - Mar), 2016",45681.0
Maharashtra,2016,"Financial Year (Apr - Mar), 2016",121051.0
Daman & Diu,2016,"Financial Year (Apr - Mar), 2016",1737.0
Dadra & Nagar Haveli,2016,"Financial Year (Apr - Mar), 2016",5737.0
Goa,2016,"Financial Year (Apr - Mar), 2016",3475.0
Andhra Pradesh,2016,"Financial Year (Apr - Mar), 2016",47761.0
Telangana,2016,"Financial Year (Apr - Mar), 2016",44446.0
Karnataka,2016,"Financial Year (Apr - Mar), 2016",58152.0
Kerala,2016,"Financial Year (Apr - Mar), 2016",20218.0
Tamil Nadu,2016,"Financial Year (Apr - Mar), 2016",83936.0
Puducherry,2016,"Financial Year (Apr - Mar), 2016",2556.0
Lakshadweep,2016,"Financial Year (Apr - Mar), 2016",48.0
Bihar,2016,"Financial Year (Apr - Mar), 2016",17251.0
Jharkhand,2016,"Financial Year (Apr - Mar), 2016",19549.0
Odisha,2016,"Financial Year (Apr - Mar), 2016",16988.0
West Bengal,2016,"Financial Year (Apr - Mar), 2016",43946.0
Sikkim,2016,"Financial Year (Apr - Mar), 2016",437.0
Andaman & Nicobar Islands,2016,"Financial Year (Apr - Mar), 2016",266.0
Arunachal Pradesh,2016,"Financial Year (Apr - Mar), 2016",371.0
Assam,2016,"Financial Year (Apr - Mar), 2016",6525.0
Manipur,2016,"Financial Year (Apr - Mar), 2016",512.0
Meghalaya,2016,"Financial Year (Apr - Mar), 2016",972.0
Mizoram,2016,"Financial Year (Apr - Mar), 2016",354.0
Nagaland,2016,"Financial Year (Apr - Mar), 2016",635.0
Tripura,2016,"Financial Year (Apr - Mar), 2016",895.0
Chandigarh,2017,"Financial Year (Apr - Mar), 2017",1574.0
Delhi,2017,"Financial Year (Apr - Mar), 2017",28488.0
Haryana,2017,"Financial Year (Apr - Mar), 2017",38215.0
Himachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",8405.0
Jammu & Kashmir,2017,"Financial Year (Apr - Mar), 2017",8395.0
Punjab,2017,"Financial Year (Apr - Mar), 2017",47027.0
Rajasthan,2017,"Financial Year (Apr - Mar), 2017",53618.0
Uttar Pradesh,2017,"Financial Year (Apr - Mar), 2017",90395.0
Uttarakhand,2017,"Financial Year (Apr - Mar), 2017",11210.0
Chhattisgarh,2017,"Financial Year (Apr - Mar), 2017",20363.0
Gujarat,2017,"Financial Year (Apr - Mar), 2017",90719.0
Madhya Pradesh,2017,"Financial Year (Apr - Mar), 2017",52523.0
Maharashtra,2017,"Financial Year (Apr - Mar), 2017",124921.0
Daman & Diu,2017,"Financial Year (Apr - Mar), 2017",2377.0
Dadra & Nagar Haveli,2017,"Financial Year (Apr - Mar), 2017",5672.0
Goa,2017,"Financial Year (Apr - Mar), 2017",3618.0
Andhra Pradesh,2017,"Financial Year (Apr - Mar), 2017",51001.0
Telangana,2017,"Financial Year (Apr - Mar), 2017",51198.0
Karnataka,2017,"Financial Year (Apr - Mar), 2017",59236.0
Kerala,2017,"Financial Year (Apr - Mar), 2017",21354.0
Tamil Nadu,2017,"Financial Year (Apr - Mar), 2017",86654.0
Puducherry,2017,"Financial Year (Apr - Mar), 2017",2540.0
Lakshadweep,2017,"Financial Year (Apr - Mar), 2017",49.0
Bihar,2017,"Financial Year (Apr - Mar), 2017",18713.0
Jharkhand,2017,"Financial Year (Apr - Mar), 2017",19950.0
Odisha,2017,"Financial Year (Apr - Mar), 2017",17714.0
West Bengal,2017,"Financial Year (Apr - Mar), 2017",45478.0
Sikkim,2017,"Financial Year (Apr - Mar), 2017",344.0
Andaman & Nicobar Islands,2017,"Financial Year (Apr - Mar), 2017",266.0
Arunachal Pradesh,2017,"Financial Year (Apr - Mar), 2017",437.0
Assam,2017,"Financial Year (Apr - Mar), 2017",7064.0
Manipur,2017,"Financial Year (Apr - Mar), 2017",564.0
Meghalaya,2017,"Financial Year (Apr - Mar), 2017",1064.0
Mizoram,2017,"Financial Year (Apr - Mar), 2017",396.0
Nagaland,2017,"Financial Year (Apr - Mar), 2017",664.0
Tripura,2017,"Financial Year (Apr - Mar), 2017",928.0
Chandigarh,2018,"Financial Year (Apr - Mar), 2018",1535.0
Delhi,2018,"Financial Year (Apr - Mar), 2018",29169.0
Haryana,2018,"Financial Year (Apr - Mar), 2018",41017.0
Himachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",9041.0
Jammu & Kashmir,2018,"Financial Year (Apr - Mar), 2018",9633.0
Punjab,2018,"Financial Year (Apr - Mar), 2018",50120.0
Rajasthan,2018,"Financial Year (Apr - Mar), 2018",60151.0
Uttar Pradesh,2018,"Financial Year (Apr - Mar), 2018",91355.0
Uttarakhand,2018,"Financial Year (Apr - Mar), 2018",11543.0
Chhattisgarh,2018,"Financial Year (Apr - Mar), 2018",22210.0
Gujarat,2018,"Financial Year (Apr - Mar), 2018",95970.0
Madhya Pradesh,2018,"Financial Year (Apr - Mar), 2018",56972.0
Maharashtra,2018,"Financial Year (Apr - Mar), 2018",132619.0
Daman & Diu,2018,"Financial Year (Apr - Mar), 2018",2431.0
Dadra & Nagar Haveli,2018,"Financial Year (Apr - Mar), 2018",6066.0
Goa,2018,"Financial Year (Apr - Mar), 2018",3787.0
Andhra Pradesh,2018,"Financial Year (Apr - Mar), 2018",55407.0
Telangana,2018,"Financial Year (Apr - Mar), 2018",58366.0
Karnataka,2018,"Financial Year (Apr - Mar), 2018",62405.0
Kerala,2018,"Financial Year (Apr - Mar), 2018",21414.0
Tamil Nadu,2018,"Financial Year (Apr - Mar), 2018",91788.0
Puducherry,2018,"Financial Year (Apr - Mar), 2018",2654.0
Lakshadweep,2018,"Financial Year (Apr - Mar), 2018",49.0
Bihar,2018,"Financial Year (Apr - Mar), 2018",20856.0
Jharkhand,2018,"Financial Year (Apr - Mar), 2018",21184.0
Odisha,2018,"Financial Year (Apr - Mar), 2018",19373.0
West Bengal,2018,"Financial Year (Apr - Mar), 2018",48290.0
Sikkim,2018,"Financial Year (Apr - Mar), 2018",381.0
Andaman & Nicobar Islands,2018,"Financial Year (Apr - Mar), 2018",255.0
Arunachal Pradesh,2018,"Financial Year (Apr - Mar), 2018",447.0
Assam,2018,"Financial Year (Apr - Mar), 2018",7268.0
Manipur,2018,"Financial Year (Apr - Mar), 2018",613.0
Meghalaya,2018,"Financial Year (Apr - Mar), 2018",1105.0
Mizoram,2018,"Financial Year (Apr - Mar), 2018",408.0
Nagaland,2018,"Financial Year (Apr - Mar), 2018",679.0
Tripura,2018,"Financial Year (Apr - Mar), 2018",956.0
Chandigarh,2019,"Financial Year (Apr - Mar), 2019",1604.0
Delhi,2019,"Financial Year (Apr - Mar), 2019",29812.0
Haryana,2019,"Financial Year (Apr - Mar), 2019",43382.0
Himachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",9124.0
Jammu & Kashmir,2019,"Financial Year (Apr - Mar), 2019",10623.0
Punjab,2019,"Financial Year (Apr - Mar), 2019",49168.0
Rajasthan,2019,"Financial Year (Apr - Mar), 2019",61942.0
Uttar Pradesh,2019,"Financial Year (Apr - Mar), 2019",94932.0
Uttarakhand,2019,"Financial Year (Apr - Mar), 2019",12021.0
Chhattisgarh,2019,"Financial Year (Apr - Mar), 2019",22793.0
Gujarat,2019,"Financial Year (Apr - Mar), 2019",92245.0
Madhya Pradesh,2019,"Financial Year (Apr - Mar), 2019",58628.0
Maharashtra,2019,"Financial Year (Apr - Mar), 2019",125645.0
Daman & Diu,2019,"Financial Year (Apr - Mar), 2019",2496.0
Dadra & Nagar Haveli,2019,"Financial Year (Apr - Mar), 2019",6288.0
Goa,2019,"Financial Year (Apr - Mar), 2019",4104.0
Andhra Pradesh,2019,"Financial Year (Apr - Mar), 2019",57119.0
Telangana,2019,"Financial Year (Apr - Mar), 2019",59365.0
Karnataka,2019,"Financial Year (Apr - Mar), 2019",61131.0
Kerala,2019,"Financial Year (Apr - Mar), 2019",23149.0
Tamil Nadu,2019,"Financial Year (Apr - Mar), 2019",95919.0
Puducherry,2019,"Financial Year (Apr - Mar), 2019",2714.0
Lakshadweep,2019,"Financial Year (Apr - Mar), 2019",48.0
Bihar,2019,"Financial Year (Apr - Mar), 2019",22709.0
Jharkhand,2019,"Financial Year (Apr - Mar), 2019",21997.0
Odisha,2019,"Financial Year (Apr - Mar), 2019",20716.0
West Bengal,2019,"Financial Year (Apr - Mar), 2019",50482.0
Sikkim,2019,"Financial Year (Apr - Mar), 2019",411.0
Andaman & Nicobar Islands,2019,"Financial Year (Apr - Mar), 2019",269.0
Arunachal Pradesh,2019,"Financial Year (Apr - Mar), 2019",419.0
Assam,2019,"Financial Year (Apr - Mar), 2019",7109.0
Manipur,2019,"Financial Year (Apr - Mar), 2019",631.0
Meghalaya,2019,"Financial Year (Apr - Mar), 2019",1259.0
Mizoram,2019,"Financial Year (Apr - Mar), 2019",486.0
Nagaland,2019,"Financial Year (Apr - Mar), 2019",693.0
Tripura,2019,"Financial Year (Apr - Mar), 2019",914.0
