srcStateName,srcYear,Electricity consumption by ultimate consumers,YearCode,Year
Bihar,2018-19,20856,2018,"Financial Year (Apr - Mar), 2018"
Jharkhand,2018-19,21184,2018,"Financial Year (Apr - Mar), 2018"
Odisha,2018-19,19373,2018,"Financial Year (Apr - Mar), 2018"
West Bengal,2018-19,48290,2018,"Financial Year (Apr - Mar), 2018"
Sikkim,2018-19,381,2018,"Financial Year (Apr - Mar), 2018"
Andaman & Nicobar Islands,2018-19,255,2018,"Financial Year (Apr - Mar), 2018"
Arunachal Pradesh,2018-19,447,2018,"Financial Year (Apr - Mar), 2018"
Assam,2018-19,7268,2018,"Financial Year (Apr - Mar), 2018"
Manipur,2018-19,613,2018,"Financial Year (Apr - Mar), 2018"
Meghalaya,2018-19,1105,2018,"Financial Year (Apr - Mar), 2018"
Mizoram,2018-19,408,2018,"Financial Year (Apr - Mar), 2018"
Nagaland,2018-19,679,2018,"Financial Year (Apr - Mar), 2018"
Tripura,2018-19,956,2018,"Financial Year (Apr - Mar), 2018"
Chandigarh,2019-20,1604,2019,"Financial Year (Apr - Mar), 2019"
Delhi,2019-20,29812,2019,"Financial Year (Apr - Mar), 2019"
Haryana,2019-20,43382,2019,"Financial Year (Apr - Mar), 2019"
Himachal Pradesh,2019-20,9124,2019,"Financial Year (Apr - Mar), 2019"
Jammu & Kashmir,2019-20,10623,2019,"Financial Year (Apr - Mar), 2019"
Punjab,2019-20,49168,2019,"Financial Year (Apr - Mar), 2019"
Rajasthan,2019-20,61942,2019,"Financial Year (Apr - Mar), 2019"
Uttar Pradesh,2019-20,94932,2019,"Financial Year (Apr - Mar), 2019"
Uttarakhand,2019-20,12021,2019,"Financial Year (Apr - Mar), 2019"
Chhattisgarh,2019-20,22793,2019,"Financial Year (Apr - Mar), 2019"
Gujarat,2019-20,92245,2019,"Financial Year (Apr - Mar), 2019"
Madhay Pradesh,2019-20,58628,2019,"Financial Year (Apr - Mar), 2019"
Maharashtra,2019-20,125645,2019,"Financial Year (Apr - Mar), 2019"
Daman & Diu,2019-20,2496,2019,"Financial Year (Apr - Mar), 2019"
Dadra & Nagar Haveli,2019-20,6288,2019,"Financial Year (Apr - Mar), 2019"
Goa,2019-20,4104,2019,"Financial Year (Apr - Mar), 2019"
Andhra Pradesh,2019-20,57119,2019,"Financial Year (Apr - Mar), 2019"
Telangana,2019-20,59365,2019,"Financial Year (Apr - Mar), 2019"
Karnataka,2019-20,61131,2019,"Financial Year (Apr - Mar), 2019"
Kerala,2019-20,23149,2019,"Financial Year (Apr - Mar), 2019"
Tamil Nadu,2019-20,95919,2019,"Financial Year (Apr - Mar), 2019"
Puducherry,2019-20,2714,2019,"Financial Year (Apr - Mar), 2019"
Lakshadweep,2019-20,48,2019,"Financial Year (Apr - Mar), 2019"
Bihar,2019-20,22709,2019,"Financial Year (Apr - Mar), 2019"
Jharkhand,2019-20,21997,2019,"Financial Year (Apr - Mar), 2019"
Odisha,2019-20,20716,2019,"Financial Year (Apr - Mar), 2019"
West Bengal,2019-20,50482,2019,"Financial Year (Apr - Mar), 2019"
Sikkim,2019-20,411,2019,"Financial Year (Apr - Mar), 2019"
Andaman & Nicobar Islands,2019-20,269,2019,"Financial Year (Apr - Mar), 2019"
Arunachal Pradesh,2019-20,419,2019,"Financial Year (Apr - Mar), 2019"
Assam,2019-20,7109,2019,"Financial Year (Apr - Mar), 2019"
Manipur,2019-20,631,2019,"Financial Year (Apr - Mar), 2019"
Meghalaya,2019-20,1259,2019,"Financial Year (Apr - Mar), 2019"
Mizoram,2019-20,486,2019,"Financial Year (Apr - Mar), 2019"
Nagaland,2019-20,693,2019,"Financial Year (Apr - Mar), 2019"
Tripura,2019-20,914,2019,"Financial Year (Apr - Mar), 2019"
